capture,prompt_index,seed,query_dimension,layer,pre_normalized_w1,post_normalized_w1,post_pre_ratio
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,0,0.6569201350212097,5.096164703369141,7.757662509773129
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,1,1.1435050964355469,8.098307609558105,7.082003949786999
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,2,1.2732641696929932,2.7955539226531982,2.195580453133505
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,3,1.1235913038253784,7.637447834014893,6.797353991627063
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,4,1.0847169160842896,5.147683143615723,4.7456465989285945
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,5,1.1109877824783325,5.606099605560303,5.046049735177568
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,6,1.1602709293365479,2.376444101333618,2.0481803355122308
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,7,0.817988932132721,4.100583553314209,5.013006157213968
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,8,0.9139721393585205,3.943544626235962,4.314731769618025
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,9,0.6931944489479065,2.0965421199798584,3.0244646695625996
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,10,0.3464645743370056,0.7941901683807373,2.2922694763252465
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,11,0.5038114786148071,1.7679953575134277,3.5092399291385776
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,12,0.5947834253311157,1.8341833353042603,3.0837835373155715
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,13,0.5222557783126831,0.7093021273612976,1.3581508464165366
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,14,1.061002254486084,3.713736057281494,3.500215048157754
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,15,0.36406198143959045,2.0402934551239014,5.604247515920449
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,16,0.5611499547958374,0.9547440409660339,1.7014062512281543
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,17,0.5175482630729675,0.9593569040298462,1.8536568905354232
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,18,0.49031734466552734,1.8538968563079834,3.7810142277806413
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,19,0.5381146669387817,0.7699295878410339,1.4307909357330795
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,20,0.624753475189209,1.5814156532287598,2.531263475965175
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,21,0.41442668437957764,9.653844833374023,23.294457613959935
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,22,0.2616090178489685,0.5474923849105835,2.0927886561871523
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,23,0.5960724949836731,2.7801291942596436,4.664078979748585
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,24,0.5797903537750244,1.834714412689209,3.164444528515098
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,25,0.7697144746780396,3.0566985607147217,3.9712109636411537
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,26,0.7689278721809387,4.122406005859375,5.361238882090256
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,27,0.4757702052593231,2.5055367946624756,5.266275119722574
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,28,2.0875816345214844,8.53899097442627,4.09037463887422
output/query_capture/prompt_dynamic_0/prompt_000_seed_0_d2169d6409_dim_0.pt,0,0,0,29,0.9489604234695435,7.7080769538879395,8.122653762214908
